disorder_cui|name|definition
C0950124|Disease due to Papilloma virus|Neoplasms of the skin and mucous membranes caused by papillomaviruses. They are usually benign but some have a high risk for malignant progression.
C0004760|Barotrauma|Injury following pressure changes; includes injury to the eustachian tube, ear drum, lung and stomach.
C0017107|Gas Poisoning|Poisoning that results from exposure to gases such as CARBON MONOXIDE; NOBLE GASES; OXYGEN; or NATURAL GAS.
C0158945|Congenital Cytomegalovirus Infection|undefined
C0035333|Retinitis|Inflammation of the RETINA. It is rarely limited to the retina, but is commonly associated with diseases of the choroid (CHORIORETINITIS) and of the OPTIC DISK (neuroretinitis).
C0345904|Malignant neoplasm of liver|undefined
C1541923|Infective endocarditis|undefined
C0596270|Cardiovascular Infections|Pathological conditions of the CARDIOVASCULAR SYSTEM caused by infections.
C4316995|Primary Hypothyroidism|undefined
C0026760|Multiple Epiphyseal Dysplasia|undefined
C0240066|Iron deficiency|Deficient amounts of iron in the body as a result of blood loss, diets deficient in iron, or an iron uptake or storage disorder.
C0012715|Iron Metabolism Disorders|Disorders in the processing of iron in the body: its absorption, transport, storage, and utilization. (From Mosby's Medical, Nursing, & Allied Health Dictionary, 4th ed)
C0036093|Salivary Gland Diseases|Diseases involving the SALIVARY GLANDS.
C0263477|Female pattern alopecia (disorder)|undefined
C0020678|Hypotrichosis|Presence of less than the normal amount of hair. (Dorland, 27th ed)
C1142379|Neurotmesis|undefined
C0282124|Near-Death Experience|undefined
C0272242|Complement Deficiencies|undefined
C0398686|Primary immune deficiency disorder|Genetic immunologic deficiency diseases and syndromes due to mutations in genes involved in IMMUNITY generally characterized by an increased susceptibility to infectious diseases. They are often associated with AUTOIMMUNE DISEASE manifestations.
C0022283|Incontinentia Pigmenti Achromians|undefined
C1879321|Acute Myeloid Leukemia (AML-M2)|undefined
C0032915|Preexcitation Syndrome|A group of conditions in which HEART VENTRICLE activation by the atrial impulse is faster than the normal impulse conduction from the SINOATRIAL NODE. In these pre-excitation syndromes, atrial impulses often bypass the ATRIOVENTRICULAR NODE delay and travel via ACCESSORY CONDUCTING PATHWAYS connecting the atrium directly to the BUNDLE OF HIS.
C0242514|Tachycardia, Reciprocating|Abnormally rapid heartbeats caused by reentrant conduction over the accessory pathways between the HEART ATRIA and the HEART VENTRICLES. The impulse can also travel in the reverse direction, as in some cases, atrial impulses travel to the ventricles over the accessory pathways and back to the atria over the BUNDLE OF HIS and the ATRIOVENTRICULAR NODE.
C0028853|Ocular Physiological Phenomena|Processes and properties of the EYE as a whole or of any of its parts.
C0017919|Glycogen Storage Disease|A group of inherited metabolic disorders involving the enzymes responsible for the synthesis and degradation of glycogen. In some patients, prominent liver involvement is presented. In others, more generalized storage of glycogen occurs, sometimes with prominent cardiac involvement.
C1527402|Narcotic Dependence|undefined
C0038340|Sting Injury|undefined
C0162699|Tick-Borne Infections|undefined
C0006109|Brain Damage, Chronic|A condition characterized by long-standing brain dysfunction or damage, usually of three months duration or longer. Potential etiologies include BRAIN INFARCTION; certain NEURODEGENERATIVE DISORDERS; CRANIOCEREBRAL TRAUMA; ANOXIA, BRAIN; ENCEPHALITIS; certain NEUROTOXICITY SYNDROMES; metabolic disorders (see BRAIN DISEASES, METABOLIC); and other conditions.
C5232927|Hyperthermia|An abnormal elevation of body temperature, usually as a result of inability to regulate core body temperature due to non-pathologic factors.
C5392210|Exertional Heat Illness|undefined
C0005974|Bone Resorption|Bone loss due to osteoclastic activity.
C0085268|Bone remodeling|The continuous turnover of BONE MATRIX and mineral that involves first an increase in BONE RESORPTION (osteoclastic activity) and later, reactive BONE FORMATION (osteoblastic activity). The process of bone remodeling takes place in the adult skeleton at discrete foci. The process ensures the mechanical integrity of the skeleton throughout life and plays an important role in calcium HOMEOSTASIS. An imbalance in the regulation of bone remodeling's two contrasting events, bone resorption and bone formation, results in many of the metabolic bone diseases, such as OSTEOPOROSIS.
C0034963|Natural regeneration|The physiological renewal, repair, or replacement of tissue.
C0026861|Musculoskeletal Physiological Phenomena|Processes and properties of the MUSCULOSKELETAL SYSTEM.
C5234783|Análise Biológica|undefined
C0574785|Lower Urinary Tract Symptoms|Symptoms of disorders of the lower urinary tract including frequency, NOCTURIA; urgency, incomplete voiding, and URINARY INCONTINENCE. They are often associated with OVERACTIVE BLADDER; URINARY INCOMPETENCE; and INTERSTITIAL CYSTITIS. Lower urinary tract symptoms in males were traditionally called PROSTATISM.
C0033144|Primary Prevention|Specific practices for the prevention of disease or mental disorders in susceptible individuals or populations. These include HEALTH PROMOTION, including mental health; protective procedures, such as COMMUNICABLE DISEASE CONTROL; and monitoring and regulation of ENVIRONMENTAL POLLUTANTS. Primary prevention is to be distinguished from SECONDARY PREVENTION and TERTIARY PREVENTION.
C0033109|Preventive Health Services|Services designed for HEALTH PROMOTION.
C0034024|Public Health Practice|The activities and endeavors of the public health services in a community on any level.
C0018747|Health Services|Services for the diagnosis and treatment of disease and the maintenance of health.
C0015471|Health Care Facilities Workforce and Services|The services provided in the delivery of health care, associated facilities in health care, and attendant manpower required or available.
C0014487|Epicholesterol|undefined
C0023169|LDL-1|Low-density lipoprotein particles with density between 1.019 and 1.045 g/ml.
C0008375|Cholestenes|Steroids with methyl groups at C-10 and C-13 and a branched 8-carbon chain at C-17. Members include compounds with any degree of unsaturation; however, CHOLESTADIENES is available for derivatives containing two double bonds.
C0038323|Sterols|Steroids with a hydroxyl group at C-3 and most of the skeleton of cholestane. Additional carbon atoms may be present in the side chain. (IUPAC Steroid Nomenclature, 1987)
C0023820|Lipoproteins|Lipid-protein complexes involved in the transportation and metabolism of lipids in the body. They are spherical particles consisting of a hydrophobic core of TRIGLYCERIDES and CHOLESTEROL ESTERS surrounded by a layer of hydrophilic free CHOLESTEROL; PHOSPHOLIPIDS; and APOLIPOPROTEINS. Lipoproteins are classified by their varying buoyant density and sizes.
C0008366|Cholestanes|Derivatives of the saturated steroid cholestane with methyl groups at C-18 and C-19 and an iso-octyl side chain at C-17.
C0025249|Membrane Lipids|Lipids, predominantly phospholipids, cholesterol and small amounts of glycolipids found in membranes including cellular and intracellular membranes. These lipids may be arranged in bilayers in the membranes with integral proteins between the layers and peripheral proteins attached to the outside. Membrane lipids are required for active transport, several enzymatic activities and membrane formation.
C0023779|Lipids|A generic term for fats and lipoids, the alcohol-ether-soluble constituents of protoplasm, which are insoluble in water. They comprise the fats, fatty oils, essential oils, waxes, phospholipids, glycolipids, sulfolipids, aminolipids, chromolipids (lipochromes), and fatty acids. (Grant & Hackh's Chemical Dictionary, 5th ed)
C0038317|Steroids|A group of polycyclic compounds closely related biochemically to TERPENES. They include cholesterol, numerous hormones, precursors of certain vitamins, bile acids, alcohols (STEROLS), and certain natural drugs and poisons. Steroids have a common nucleus, a fused, reduced 17-carbon atom ring system, cyclopentanoperhydrophenanthrene. Most steroids also have two methyl groups and an aliphatic side-chain attached to the nucleus. (From Hawley's Condensed Chemical Dictionary, 11th ed)
C4277693|Fused-Ring Compounds|Polycyclic compounds with adjacent rings that share the same two adjacent atoms.
C0032456|Polycyclic Compounds|Compounds which contain two or more rings in their structure.
C0042636|Vibrio Infections|Infections with bacteria of the genus VIBRIO.
C2108396|Japanese Spotted Fever|undefined
C0035592|Rickettsiaceae Infections|Infections with bacteria of the family RICKETTSIACEAE.
C1096584|Chlamydia pneumoniae Infections|undefined
C0238528|Infection by Yersinia enterocolitica|undefined
C0152177|Trigeminal Nerve Disorder|Diseases of the trigeminal nerve or its nuclei, which are located in the pons and medulla. The nerve is composed of three divisions: ophthalmic, maxillary, and mandibular, which provide sensory innervation to structures of the face, sinuses, and portions of the cranial vault. The mandibular nerve also innervates muscles of mastication. Clinical features include loss of facial and intra-oral sensation and weakness of jaw closure. Common conditions affecting the nerve include brain stem ischemia, INFRATENTORIAL NEOPLASMS, and TRIGEMINAL NEURALGIA.
C0037887|Sphenopalatine Neuralgia|undefined
C0270871|Facial Myokymia|undefined
C0206631|Lipomatous neoplasm|Neoplasms composed of fatty tissue or connective tissue made up of fat cells in a meshwork of areolar tissue. The concept does not refer to neoplasms located in adipose tissue.
C0282313|Condition, Preneoplastic|undefined
C2931245|Bone Marrow Failure Disorders|Inherited or acquired diseases characterized by insufficient and/or dysplastic blood cells.
C0949936|Influenzavirus A|A genus in the family ORTHOMYXOVIRIDAE causing influenza and other diseases in humans and animals. It contains many strains as well as antigenic subtypes of the integral membrane proteins hemagglutinin (VIRAL HEMAGGLUTININS) and NEURAMINIDASE. The type species is INFLUENZA A VIRUS.
C0027160|Myxoviruses|undefined
C5392140|Negative-Sense RNA Viruses|RNA viruses that have their genetic material encoded in the form of single-stranded, negative-sense RNA. Unlike RETROVIRUSES they do not employ DNA intermediates in their life-cycle
C0949940|Influenzavirus B|A genus of the family ORTHOMYXOVIRUS causing HUMAN INFLUENZA and other diseases primarily in humans. In contrast to INFLUENZAVIRUS A, no distinct antigenic subtypes of hemagglutinin (VIRAL HEMAGGLUTININ) and NEURAMINIDASE are recognized. The type species is INFLUENZA B VIRUS.
C0282201|Phosphate Diabetes|undefined
C2363065|Vitamin D-resistant rickets|undefined
C0006015|Bordetella Infections|Infections with bacteria of the genus BORDETELLA.
C0023051|Laryngeal Diseases|Pathological processes involving any part of the LARYNX which coordinates many functions such as voice production, breathing, swallowing, and coughing.
C0276357|Swine influenza|undefined
C0451641|Urolithiasis|Formation of stones in any part of the URINARY TRACT, usually in the KIDNEY; URINARY BLADDER; or the URETER.
C0006736|Calculi|An abnormal concretion occurring mostly in the urinary and biliary tracts, usually composed of mineral salts. Also called stones.
C0015406|Eye Infections, Parasitic|Mild to severe infections of the eye and its adjacent structures (adnexa) by adult or larval protozoan or metazoan parasites.
C0021963|Iodamoebiasis|undefined
C0041309|Tuberculosis, Cutaneous|Tuberculosis of the skin. It includes scrofuloderma and tuberculid, but not LUPUS VULGARIS.
